Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
India,2022.0516815422204,Malware,Telecommunications,412.0,449.0,Hacker Group,Unpatched Software,Encryption,337.0
Japan,2017.835624351481,Man-in-the-Middle,Telecommunications,188.0,292.0,Unknown,Unpatched Software,Encryption,224.0
Germany,2017.2845162838896,Ransomware,Government,247.0,238.0,Nation-state,Social Engineering,Encryption,431.0
Japan,2020.002670314522,Unknown,Retail,383.0,363.0,Nation-state,Unpatched Software,Firewall,449.0
France,2015.0735630982103,DDoS,Banking,43.0,171.0,Hacker Group,Unknown,Encryption,178.0
USA,2016.984528380404,Phishing,Retail,,318.0,Unknown,Zero-day,AI-based Detection,342.0
Brazil,2021.8457757234955,Unknown,Telecommunications,269.0,355.0,Nation-state,Weak Passwords,Antivirus,209.0
China,2021.1362594835844,DDoS,Telecommunications,416.0,389.0,Nation-state,Weak Passwords,AI-based Detection,461.0
Australia,2022.1394415200816,Phishing,Healthcare,403.0,383.0,Hacker Group,Weak Passwords,Antivirus,413.0
Brazil,2016.9330730288088,Man-in-the-Middle,Healthcare,201.0,285.0,Hacker Group,Weak Passwords,Encryption,281.0
Brazil,2018.88184945458,Ransomware,Unknown,240.0,309.0,Insider,Social Engineering,VPN,279.0
India,2015.0467111315827,Man-in-the-Middle,Healthcare,112.0,175.0,Nation-state,Weak Passwords,Antivirus,314.0
Germany,2022.013497544784,SQL Injection,Government,273.0,348.0,Nation-state,Social Engineering,VPN,227.0
India,2018.2478327793867,Phishing,Retail,255.0,249.0,Hacker Group,Social Engineering,VPN,419.0
India,2021.926819577332,Man-in-the-Middle,Banking,474.0,448.0,Unknown,Unpatched Software,AI-based Detection,462.0
Japan,2019.0122228458752,Ransomware,Government,241.0,283.0,Hacker Group,Weak Passwords,VPN,326.0
India,2024.163702763956,Malware,Unknown,449.0,464.0,Hacker Group,Unpatched Software,VPN,337.0
Russia,2021.0820778558389,DDoS,Banking,250.0,314.0,Hacker Group,Zero-day,Antivirus,250.0
Unknown,2020.931985483209,Malware,IT,365.0,361.0,Hacker Group,Zero-day,Unknown,396.0
China,2018.9235391224088,Unknown,Unknown,206.0,257.0,Nation-state,Social Engineering,Antivirus,301.0
Japan,2014.903294984432,DDoS,IT,100.0,148.0,Hacker Group,Zero-day,Antivirus,317.0
India,2018.053756718425,Unknown,Healthcare,180.0,276.0,Insider,Social Engineering,VPN,226.0
Brazil,2022.787324847089,Ransomware,Telecommunications,290.0,328.0,Hacker Group,Weak Passwords,VPN,272.0
China,2024.175908009093,Ransomware,Telecommunications,287.0,376.0,Nation-state,Social Engineering,Encryption,342.0
Australia,2022.2072106968224,Phishing,Education,295.0,339.0,Nation-state,Weak Passwords,Antivirus,282.0
Unknown,2020.1567437821247,Ransomware,Healthcare,371.0,378.0,Insider,Social Engineering,Encryption,425.0
Russia,2016.2400679938423,SQL Injection,Education,283.0,318.0,Nation-state,Weak Passwords,AI-based Detection,412.0
Unknown,2021.969076440528,Phishing,IT,287.0,318.0,Insider,Zero-day,VPN,342.0
France,2018.0229363599385,DDoS,Government,372.0,377.0,Insider,Zero-day,VPN,449.0
Australia,2015.1048902960845,Phishing,Telecommunications,192.0,242.0,Unknown,Zero-day,VPN,353.0
UK,2019.8914427691057,Malware,Retail,338.0,321.0,Hacker Group,Weak Passwords,VPN,435.0
Australia,2021.0727997784788,Man-in-the-Middle,Government,210.0,325.0,Insider,Unpatched Software,Antivirus,155.0
Australia,2017.223416768928,DDoS,Government,167.0,270.0,Hacker Group,Zero-day,AI-based Detection,240.0
China,2015.938913864553,Phishing,Government,203.0,273.0,Unknown,Social Engineering,Firewall,325.0
USA,2022.717332497381,Malware,Unknown,359.0,412.0,Unknown,Unpatched Software,Antivirus,290.0
China,2022.8898916043704,Malware,IT,399.0,429.0,Unknown,Weak Passwords,Firewall,322.0
Russia,2019.8791808849885,DDoS,Healthcare,260.0,292.0,Unknown,Social Engineering,AI-based Detection,322.0
Brazil,2015.9669336095155,Man-in-the-Middle,Banking,207.0,277.0,Nation-state,Zero-day,AI-based Detection,334.0
Australia,2022.0053283094603,Malware,Healthcare,229.0,281.0,Nation-state,Unpatched Software,VPN,232.0
Japan,,Malware,Unknown,,,Hacker Group,Zero-day,AI-based Detection,423.0
Australia,2023.0605306607947,Man-in-the-Middle,Retail,367.0,396.0,Nation-state,Zero-day,Firewall,317.0
USA,2015.153991300756,Ransomware,Government,148.0,214.0,Hacker Group,Weak Passwords,VPN,332.0
India,2017.988351276707,Phishing,Government,130.0,213.0,Nation-state,Unpatched Software,VPN,226.0
Russia,2023.748860240044,Phishing,Retail,469.0,459.0,Nation-state,Unpatched Software,Encryption,398.0
Japan,2021.7947928620488,Man-in-the-Middle,IT,312.0,346.0,Hacker Group,Unpatched Software,AI-based Detection,301.0
Australia,2023.1740336907733,Ransomware,Healthcare,335.0,388.0,Unknown,Weak Passwords,Antivirus,280.0
USA,2022.234335918012,Man-in-the-Middle,Education,287.0,318.0,Insider,Weak Passwords,Encryption,
USA,2023.2058685575528,Malware,Unknown,372.0,394.0,Nation-state,Weak Passwords,Antivirus,303.0
Germany,2017.0258726457243,Malware,Healthcare,238.0,255.0,Unknown,Weak Passwords,Encryption,395.0
UK,2015.889702972611,Ransomware,Retail,100.0,171.0,Nation-state,Weak Passwords,VPN,263.0
Australia,2016.7288401264143,Man-in-the-Middle,IT,285.0,319.0,Nation-state,Weak Passwords,Encryption,405.0
USA,2017.8513772546776,SQL Injection,Healthcare,324.0,343.0,Insider,Weak Passwords,Encryption,430.0
China,2021.0727221711024,Phishing,Education,383.0,384.0,Unknown,Zero-day,Firewall,394.0
Japan,2015.7211384127413,DDoS,Unknown,291.0,278.0,Insider,Weak Passwords,AI-based Detection,472.0
Japan,2023.050526542472,Man-in-the-Middle,IT,344.0,339.0,Unknown,Zero-day,VPN,360.0
China,,SQL Injection,Healthcare,287.0,,Hacker Group,Unpatched Software,Firewall,342.0
Germany,2020.170526341571,DDoS,Government,287.0,318.0,Hacker Group,Zero-day,VPN,
China,2016.704844078293,Malware,Education,306.0,336.0,Unknown,Social Engineering,VPN,414.0
China,2021.8530169456712,Malware,Telecommunications,293.0,332.0,Unknown,Unknown,Firewall,301.0
Germany,2014.762604250693,DDoS,Telecommunications,287.0,205.0,Hacker Group,Zero-day,AI-based Detection,
UK,2023.8686609542945,Man-in-the-Middle,Healthcare,445.0,388.0,Insider,Social Engineering,Encryption,460.0
Australia,2017.9502848599648,SQL Injection,Banking,287.0,303.0,Insider,Weak Passwords,VPN,
Brazil,2024.0848144010329,SQL Injection,Healthcare,336.0,372.0,Insider,Zero-day,Firewall,258.0
Germany,2021.171559716264,Unknown,Healthcare,258.0,309.0,Nation-state,Zero-day,Antivirus,267.0
Russia,2017.938581105148,Phishing,Education,246.0,339.0,Insider,Zero-day,Firewall,267.0
Japan,2017.8630724140703,SQL Injection,Education,307.0,339.0,Nation-state,Zero-day,VPN,394.0
India,2014.9858883434545,Ransomware,IT,162.0,228.0,Hacker Group,Zero-day,Firewall,335.0
France,2021.084014732177,Phishing,Retail,287.0,318.0,Insider,Social Engineering,Firewall,342.0
Japan,2018.938612978453,SQL Injection,IT,186.0,251.0,Unknown,Social Engineering,Encryption,273.0
UK,2018.081603321532,Malware,IT,174.0,221.0,Hacker Group,Weak Passwords,Antivirus,311.0
France,2021.940442364612,DDoS,Banking,386.0,386.0,Insider,Unpatched Software,AI-based Detection,383.0
France,2017.041560901252,Ransomware,Education,310.0,318.0,Insider,Social Engineering,Firewall,438.0
India,2024.1878588876773,Phishing,IT,404.0,421.0,Unknown,Zero-day,Encryption,331.0
Australia,2016.0622647061584,Unknown,Retail,350.0,320.0,Insider,Weak Passwords,AI-based Detection,533.0
UK,2020.998713437187,Malware,Telecommunications,342.0,344.0,Nation-state,Zero-day,VPN,364.0
China,2021.147254644292,Man-in-the-Middle,Retail,265.0,301.0,Unknown,Social Engineering,Antivirus,285.0
UK,2015.9488579910253,Malware,Healthcare,226.0,285.0,Nation-state,Weak Passwords,Antivirus,362.0
Brazil,2023.6235241106808,DDoS,Healthcare,362.0,403.0,Hacker Group,Unpatched Software,VPN,275.0
UK,2014.9578779352487,Ransomware,Telecommunications,187.0,211.0,Hacker Group,Weak Passwords,AI-based Detection,416.0
Russia,2018.905292987852,Malware,Banking,306.0,330.0,Unknown,Weak Passwords,Firewall,365.0
USA,2016.1643889098748,DDoS,Healthcare,164.0,255.0,Unknown,Social Engineering,VPN,254.0
UK,2020.97562291014,Malware,Banking,368.0,374.0,Hacker Group,Weak Passwords,VPN,392.0
Germany,2017.9523375772749,Phishing,Banking,287.0,318.0,Insider,Unpatched Software,AI-based Detection,342.0
France,2020.0342030500856,DDoS,Unknown,299.0,320.0,Insider,Zero-day,AI-based Detection,358.0
USA,2021.8591605441493,Ransomware,IT,407.0,469.0,Hacker Group,Weak Passwords,Firewall,329.0
Russia,2020.0607043574184,Ransomware,Telecommunications,343.0,358.0,Insider,Unpatched Software,Encryption,390.0
USA,2015.160405989423,SQL Injection,Banking,103.0,183.0,Insider,Unpatched Software,Unknown,262.0
Japan,2022.904010782864,Ransomware,Retail,509.0,484.0,Hacker Group,Weak Passwords,Encryption,452.0
France,2016.032903121244,Phishing,IT,208.0,274.0,Unknown,Zero-day,Antivirus,322.0
Unknown,2024.221415609466,SQL Injection,Government,492.0,489.0,Nation-state,Social Engineering,Antivirus,374.0
Japan,2020.160958354572,Malware,Education,285.0,323.0,Hacker Group,Unpatched Software,VPN,329.0
Brazil,2023.9814299624368,Phishing,Telecommunications,381.0,411.0,Hacker Group,Weak Passwords,VPN,299.0
India,2019.8366774711503,Phishing,Retail,376.0,357.0,Nation-state,Unknown,Firewall,427.0
France,2016.738747131201,Phishing,Retail,182.0,277.0,Nation-state,Unpatched Software,Encryption,256.0
USA,2018.0391278470288,Ransomware,Retail,212.0,327.0,Unknown,Weak Passwords,AI-based Detection,230.0
Brazil,2017.0566831476417,Phishing,IT,291.0,291.0,Nation-state,Zero-day,Encryption,432.0
USA,2018.197656725246,Phishing,Telecommunications,332.0,376.0,Unknown,Social Engineering,Encryption,361.0
China,2021.03174463808,Ransomware,Retail,175.0,273.0,Unknown,Zero-day,Antivirus,179.0
France,2018.927345885936,SQL Injection,Banking,164.0,264.0,Unknown,Unpatched Software,VPN,215.0
UK,2020.0379355485936,Man-in-the-Middle,Telecommunications,242.0,266.0,Unknown,Zero-day,AI-based Detection,332.0
Brazil,2019.9079709126825,DDoS,Education,237.0,312.0,Insider,Zero-day,AI-based Detection,260.0
Japan,2020.046946963765,Man-in-the-Middle,Education,319.0,313.0,Insider,Unpatched Software,AI-based Detection,379.0
France,2023.2069229956985,Phishing,Healthcare,376.0,424.0,Insider,Social Engineering,VPN,283.0
UK,2020.2657365807688,Ransomware,Education,199.0,216.0,Unknown,Zero-day,Firewall,302.0
Russia,2018.940100854526,Malware,Education,224.0,247.0,Nation-state,Unpatched Software,VPN,343.0
France,2023.292917053916,Man-in-the-Middle,Telecommunications,377.0,384.0,Hacker Group,Zero-day,Antivirus,329.0
UK,2021.3974761638333,Malware,Telecommunications,318.0,379.0,Hacker Group,Zero-day,Antivirus,284.0
France,2018.167816881989,Man-in-the-Middle,Education,287.0,307.0,Nation-state,Unpatched Software,Encryption,387.0
Unknown,2017.052576892551,SQL Injection,Healthcare,,264.0,Unknown,Zero-day,VPN,
India,2019.1451463600383,Ransomware,Banking,299.0,331.0,Hacker Group,Unpatched Software,VPN,345.0
Australia,2017.02816185226,Malware,IT,238.0,291.0,Insider,Weak Passwords,Firewall,332.0
Brazil,2015.8542505829496,SQL Injection,Telecommunications,347.0,316.0,Nation-state,Weak Passwords,AI-based Detection,542.0
India,2018.162975605048,,IT,166.0,224.0,Nation-state,Weak Passwords,VPN,281.0
France,2019.0063545397256,DDoS,Telecommunications,191.0,211.0,Nation-state,Weak Passwords,VPN,337.0
Russia,2018.9974039099973,Man-in-the-Middle,Banking,319.0,374.0,Insider,Unpatched Software,Antivirus,344.0
Brazil,2015.986486771326,Phishing,Education,301.0,288.0,Nation-state,,Firewall,491.0
France,2022.14222526982,Phishing,IT,392.0,405.0,Insider,Weak Passwords,Encryption,372.0
Germany,2016.069215855625,Malware,Healthcare,65.0,171.0,Unknown,Weak Passwords,Encryption,215.0
Germany,2021.1113585974429,Phishing,Telecommunications,310.0,308.0,Nation-state,Unpatched Software,AI-based Detection,369.0
Russia,2021.8730181570209,Ransomware,Telecommunications,422.0,382.0,Insider,Weak Passwords,VPN,468.0
India,2024.295152597073,Man-in-the-Middle,Retail,442.0,441.0,Nation-state,Unpatched Software,Antivirus,351.0
France,2015.1008695765056,Malware,Banking,262.0,325.0,Insider,Zero-day,Antivirus,380.0
USA,2018.8266683947345,Phishing,Education,442.0,414.0,Nation-state,Zero-day,VPN,502.0
UK,2016.9737221728635,Man-in-the-Middle,Education,275.0,345.0,Hacker Group,Weak Passwords,Antivirus,335.0
France,2022.937770646688,Man-in-the-Middle,Education,378.0,399.0,Unknown,Unpatched Software,Antivirus,322.0
Japan,2024.131259264552,Ransomware,Retail,455.0,461.0,Unknown,Zero-day,Firewall,368.0
India,2019.902206021885,Man-in-the-Middle,Retail,233.0,289.0,Hacker Group,Weak Passwords,Unknown,275.0
UK,2014.9979995747487,Malware,Unknown,243.0,272.0,Unknown,Zero-day,Antivirus,438.0
Brazil,2014.9886130786908,Malware,IT,266.0,276.0,Hacker Group,Unpatched Software,Encryption,450.0
Germany,2022.8508688464087,Phishing,Retail,329.0,368.0,Unknown,Unpatched Software,Firewall,273.0
Germany,2017.1012354026325,Ransomware,Education,295.0,316.0,Hacker Group,Unpatched Software,Firewall,422.0
UK,2017.0986962749505,Man-in-the-Middle,Telecommunications,376.0,358.0,Unknown,Unpatched Software,Firewall,505.0
Germany,2015.033718337433,DDoS,Healthcare,220.0,271.0,Hacker Group,Zero-day,AI-based Detection,379.0
Japan,2022.9904748454976,Ransomware,Retail,453.0,451.0,Nation-state,Unpatched Software,Antivirus,402.0
China,2022.0888983305288,DDoS,Education,204.0,296.0,Nation-state,Social Engineering,Firewall,184.0
Australia,2018.3168730345856,Unknown,Education,185.0,191.0,Hacker Group,Zero-day,AI-based Detection,362.0
India,2020.897715412255,Malware,Government,341.0,349.0,Insider,Weak Passwords,Antivirus,372.0
Australia,2021.8568379555704,Malware,Government,301.0,340.0,Unknown,Social Engineering,Antivirus,302.0
China,2020.9181472854025,DDoS,Healthcare,303.0,325.0,Unknown,Weak Passwords,VPN,327.0
India,2019.2849148930804,DDoS,IT,296.0,312.0,Nation-state,Unpatched Software,Antivirus,383.0
Australia,2018.8199858710027,Man-in-the-Middle,IT,,310.0,Insider,Unknown,VPN,342.0
Brazil,2022.143835159596,Phishing,IT,219.0,307.0,Unknown,Social Engineering,VPN,185.0
Unknown,2014.932317924856,DDoS,Retail,176.0,256.0,Nation-state,Zero-day,Encryption,337.0
USA,2016.986378634361,DDoS,Telecommunications,137.0,237.0,Nation-state,Weak Passwords,VPN,224.0
Japan,2020.202119259215,Man-in-the-Middle,Retail,253.0,318.0,Hacker Group,Unpatched Software,Firewall,261.0
Unknown,,Ransomware,Government,287.0,318.0,Nation-state,Unpatched Software,Firewall,220.0
UK,2021.9929194438105,DDoS,Retail,424.0,408.0,Hacker Group,Unknown,VPN,428.0
China,2020.9431362891464,Man-in-the-Middle,Banking,385.0,402.0,Nation-state,Unpatched Software,Firewall,382.0
Japan,2022.98760903914,SQL Injection,Banking,353.0,387.0,Nation-state,Zero-day,Encryption,286.0
France,2017.008877847241,DDoS,Healthcare,190.0,267.0,Hacker Group,Zero-day,Encryption,288.0
UK,2019.7537280663923,Ransomware,Banking,229.0,284.0,Unknown,Social Engineering,VPN,278.0
Germany,2020.21114429489,Unknown,Healthcare,319.0,322.0,Hacker Group,Weak Passwords,VPN,399.0
Australia,2018.0207283917143,DDoS,Education,234.0,303.0,Hacker Group,Zero-day,Encryption,304.0
USA,2020.0647771523625,Ransomware,Retail,260.0,332.0,Unknown,Weak Passwords,Antivirus,268.0
Brazil,2017.9753851557768,DDoS,Healthcare,291.0,303.0,Insider,Social Engineering,AI-based Detection,395.0
Japan,2023.7824118820167,Malware,Telecommunications,300.0,321.0,Nation-state,Zero-day,AI-based Detection,284.0
Unknown,2021.8205554455,Malware,IT,287.0,318.0,Hacker Group,Zero-day,Antivirus,342.0
India,2017.9243657561567,SQL Injection,Telecommunications,233.0,242.0,Unknown,Weak Passwords,AI-based Detection,397.0
Germany,2019.8447405752568,Unknown,Banking,,,Nation-state,Weak Passwords,VPN,334.0
Japan,2020.7962030598023,Malware,Retail,289.0,350.0,Hacker Group,Social Engineering,Firewall,278.0
Australia,2019.779420444892,DDoS,Retail,331.0,333.0,Unknown,Weak Passwords,VPN,419.0
Germany,2023.031638814408,Malware,Retail,287.0,369.0,Unknown,Unpatched Software,AI-based Detection,
USA,2024.2019798244053,Malware,Education,485.0,455.0,Unknown,Zero-day,Encryption,440.0
India,,DDoS,Banking,287.0,318.0,Nation-state,Unpatched Software,AI-based Detection,335.0
China,2021.179154598772,Malware,Banking,224.0,282.0,Nation-state,Social Engineering,Antivirus,256.0
Russia,2014.8453621770807,SQL Injection,IT,,318.0,Hacker Group,Social Engineering,Firewall,342.0
Brazil,2019.8447405752568,Man-in-the-Middle,Healthcare,287.0,318.0,Unknown,Weak Passwords,AI-based Detection,340.0
China,,Man-in-the-Middle,Banking,287.0,318.0,Hacker Group,Social Engineering,VPN,349.0
Germany,2017.1234465319576,Ransomware,Education,122.0,238.0,Hacker Group,Social Engineering,Antivirus,184.0
Unknown,2016.1378732721137,SQL Injection,IT,307.0,286.0,Nation-state,Unpatched Software,AI-based Detection,490.0
France,2019.981590286124,Ransomware,Healthcare,173.0,273.0,Unknown,Unpatched Software,Antivirus,193.0
Brazil,2017.1654108095693,Malware,Telecommunications,,,Hacker Group,Unknown,Firewall,
UK,2018.080196504114,Ransomware,Telecommunications,218.0,258.0,Hacker Group,Unknown,,318.0
UK,2017.092350400352,DDoS,Government,241.0,284.0,Hacker Group,Weak Passwords,Antivirus,362.0
Germany,2021.980178867234,Unknown,Retail,281.0,314.0,Insider,Weak Passwords,AI-based Detection,284.0
France,2017.9793231772928,Ransomware,Education,219.0,289.0,Insider,Weak Passwords,AI-based Detection,282.0
China,2023.0292269453887,Phishing,Government,280.0,316.0,Unknown,Weak Passwords,Encryption,253.0
China,2017.0860104459748,Man-in-the-Middle,Retail,174.0,180.0,Hacker Group,Weak Passwords,AI-based Detection,375.0
Russia,2015.0368538169173,Phishing,Banking,186.0,245.0,Unknown,Social Engineering,Unknown,355.0
Germany,,Man-in-the-Middle,IT,,,Insider,Weak Passwords,AI-based Detection,442.0
USA,2020.9093483436984,Phishing,Retail,334.0,331.0,Hacker Group,Zero-day,Antivirus,401.0
USA,2017.096812514931,Unknown,Banking,154.0,222.0,Insider,Weak Passwords,Antivirus,280.0
UK,2015.001397818935,Ransomware,IT,208.0,228.0,Unknown,Weak Passwords,Encryption,417.0
UK,2022.2275915858488,Phishing,Telecommunications,395.0,430.0,Hacker Group,Zero-day,VPN,311.0
Australia,2018.0909246212889,Phishing,Education,406.0,391.0,Unknown,Weak Passwords,Antivirus,486.0
Germany,2019.1182157406536,Ransomware,Government,170.0,247.0,Hacker Group,Social Engineering,AI-based Detection,240.0
USA,2015.0358547638969,DDoS,Education,22.0,161.0,Insider,Unpatched Software,VPN,141.0
Germany,2016.6546545896813,SQL Injection,Retail,97.0,149.0,Insider,Weak Passwords,AI-based Detection,284.0
Japan,2017.864785937259,Ransomware,IT,281.0,303.0,Unknown,Weak Passwords,VPN,380.0
UK,,SQL Injection,Banking,,318.0,Hacker Group,Zero-day,VPN,343.0
UK,2021.0213609535056,SQL Injection,Telecommunications,259.0,341.0,Unknown,Unpatched Software,VPN,213.0
India,2020.044309150976,DDoS,Healthcare,302.0,312.0,Insider,Unpatched Software,Firewall,371.0
Australia,2023.026930372067,Ransomware,Government,413.0,418.0,Unknown,Social Engineering,Firewall,348.0
France,2022.020581502604,Malware,Retail,482.0,444.0,Nation-state,Zero-day,Firewall,478.0
Russia,2022.8952224462791,Ransomware,Banking,346.0,353.0,Hacker Group,Zero-day,Firewall,352.0
